exp_id,course_name,student_id,test_type,score
1,internet,24,post,16.6666666666667
1,birth,24,pre,27.2727272727273
1,birth,24,post,16.6666666666667
1,star,25,pre,45.4545454545455
1,star,25,post,50.0
1,bulb,25,pre,36.3636363636364
1,bulb,25,post,33.3333333333333
1,immune,25,pre,63.6363636363636
1,immune,25,post,25.0
1,internet,25,pre,36.3636363636364
1,internet,25,post,41.6666666666667
1,birth,25,pre,27.2727272727273
1,birth,25,post,58.3333333333333
1,star,26,pre,36.3636363636364
1,star,26,post,16.6666666666667
1,bulb,26,pre,63.6363636363636
1,bulb,26,post,16.6666666666667
1,immune,26,pre,45.4545454545455
1,immune,26,post,41.6666666666667
1,internet,26,pre,63.6363636363636
1,internet,26,post,41.6666666666667
1,birth,26,pre,72.7272727272727
1,birth,26,post,66.6666666666667
